Fragment,Label,Year
Americans went to the polls to vote for president on Tuesday after a tightly contested race between incumbent Democrat Barack Obama and Republican Mitt Romney.,right,2012
"Americans went to the polls to vote for president on Tuesday after a tightly contested race between incumbent Democrat Barack Obama and Republican Mitt Romney. Below are some comments made by the candidates, observers and voters: OBAMA, tweeting after MSNBC projected his victory: ""This happened because of you. Thank you."" OBAMA, speaking to WJLA TV in Washington: ""We've laid out the choice very clearly for the American people, and now the question is going to be people showing up to the polls.",right,2012
"Below are some comments made by the candidates, observers and voters: OBAMA, tweeting after MSNBC projected his victory: ""This happened because of you. Thank you."" OBAMA, speaking to WJLA TV in Washington: ""We've laid out the choice very clearly for the American people, and now the question is going to be people showing up to the polls. ...",right,2012
"And I think we'll all come together to move America forward."" ROMNEY, speaking to the press in Cleveland: ""This is a great day with great opportunity, but I'm also looking forward to tomorrow, because tomorrow we're going to start the work."" JOHN BOEHNER, Republican speaker of the U.S.",right,2012
"It's a perplexing time for many of us."" SYMONE VILLALONA, call-center worker in Nevada, first-time voter who backed Obama: ""I like someone who's for the people, the middle class. Romney didn't seem like he cared that much."" MELANIE KATSUR, attorney, Romney backer in Washington, D.C.: ""I think that the rate with which the deficits have grown is not acceptable.",right,2012
"It's a perplexing time for many of us."" SYMONE VILLALONA, call-center worker in Nevada, first-time voter who backed Obama: ""I like someone who's for the people, the middle class. Romney didn't seem like he cared that much."" MELANIE KATSUR, attorney, Romney backer in Washington, D.C.: ""I think that the rate with which the deficits have grown is not acceptable. I am fortunate enough to have a job, but I know a lot of people who don't."" LYDA SWOGGER, first-time voter supporting Obama in Ohio: ""Obama stands for most of the same things I do.",right,2012
"Romney didn't seem like he cared that much."" MELANIE KATSUR, attorney, Romney backer in Washington, D.C.: ""I think that the rate with which the deficits have grown is not acceptable. I am fortunate enough to have a job, but I know a lot of people who don't."" LYDA SWOGGER, first-time voter supporting Obama in Ohio: ""Obama stands for most of the same things I do. He inherited a mess and he needs more time to fix it."" PAUL DIRKS, retired mathematics professor and Obama supporter in Florida, on this year's ad barrage: ""It's been the ugliest campaign I've ever seen in my life and I'm 71 years old.",right,2012
"He inherited a mess and he needs more time to fix it."" PAUL DIRKS, retired mathematics professor and Obama supporter in Florida, on this year's ad barrage: ""It's been the ugliest campaign I've ever seen in my life and I'm 71 years old. ...",right,2012
Americans re-elected Democratic President Barack Obama on Tuesday after a tightly contested race against Republican Mitt Romney.,right,2012
"Americans re-elected Democratic President Barack Obama on Tuesday after a tightly contested race against Republican Mitt Romney. Below are some comments made by candidates, observers and voters: OBAMA, tweeting after networks projected his victory: ""This happened because of you. Thank you."" ""We're all in this together.",right,2012
"Thank you. -bo"" OBAMA, delivering his victory speech: ""Tonight, in this election, you, the American people, reminded us that while our road has been hard, while our journey has been long, we have picked ourselves up, we have fought our way back, and we know in our hearts that for the United States of America, the best is yet to come."" ""We may have battled fiercely, but it's only because we love this country deeply and we care so strongly about its future."" ""Democracy in a nation of 300 million can be noisy and messy and complicated. We have our own opinions.",right,2012
"That common bond is where we must begin."" ""Tonight, you voted for action, not politics as usual."" ROMNEY, conceding the election to Obama: ""The nation as you know is at a critical point.",right,2012
"So I say, to God alone, be the honor and the glory regardless of how He decides to organize history."" SYMONE VILLALONA, call-center worker in Nevada, first-time voter who backed Obama: ""I like someone who's for the people, the middle class. Romney didn't seem like he cared that much."" MELANIE KATSUR, attorney, Romney backer in Washington, D.C.: ""I think that the rate with which the deficits have grown is not acceptable.",right,2012
"So I say, to God alone, be the honor and the glory regardless of how He decides to organize history."" SYMONE VILLALONA, call-center worker in Nevada, first-time voter who backed Obama: ""I like someone who's for the people, the middle class. Romney didn't seem like he cared that much."" MELANIE KATSUR, attorney, Romney backer in Washington, D.C.: ""I think that the rate with which the deficits have grown is not acceptable. I am fortunate enough to have a job, but I know a lot of people who don't."" PAUL DIRKS, retired mathematics professor and Obama supporter in Florida, on this year's ad barrage: ""It's been the ugliest campaign I've ever seen in my life and I'm 71 years old.",right,2012
"Romney didn't seem like he cared that much."" MELANIE KATSUR, attorney, Romney backer in Washington, D.C.: ""I think that the rate with which the deficits have grown is not acceptable. I am fortunate enough to have a job, but I know a lot of people who don't."" PAUL DIRKS, retired mathematics professor and Obama supporter in Florida, on this year's ad barrage: ""It's been the ugliest campaign I've ever seen in my life and I'm 71 years old. ...",right,2012
"We rounded up some of our favorite non-scientific election 2012 predictors.The Battle for 7-ElectionThe 7-Eleven tradition began in 2000 when the convenience store invited customers to “grab a cup of hot, fresh coffee, and cast your vote.” It was so popular the tradition continues 12 years later for a fourth election cycle. Customers can show their support for American democracy by sipping their morning Joe from either a red Romney cup or a blue Obama cup. In the last three election cycles, the 7-Election has correctly predicted that year’s winner.",right,2012
"And in 2008, Barack Obama lead John McCain 46% to 42%.",right,2012
