Fragment,Label,Year
"An American University historian who became a polling celebrity bycorrectly predicting Donald Trump's presidential victory in 2016is flummoxed, and dispirited, by the president-elect's victory this year.",right,2016
"""He's got a 200,000 vote lead with 80%"" of the votes counted in Pennsylvania, the elder Lichtman said. ""His lead is not diminished."" Several seconds of silence followed before Sam noted ""Michigan's gone red"" and that Trump's Pennsylvania lead was growing. ""It's very, very, very difficult,"" the father said.",right,2016
"""I don't get it."" Harris was supposed to win eight of the 13 ""keys"" in his metric, and Trump only three.",right,2016
"""I don't get it."" Harris was supposed to win eight of the 13 ""keys"" in his metric, and Trump only three. With Trump ahead in every swing state as the livestream wrapped up, the elder Lichtman judged ""nothing positive"" for Harris in the data. “Oh, the democracy’s gone,"" he said of an election with massive turnout.",right,2016
"Veteran pollster Nate Silver on Tuesday said his ""gut feeling"" is that former President Donald Trump will win the presidential election next month, but that the race is still up in the air.",right,2016
"The prediction, which was published in aNew York Timesop-ed,comes as an aggregate of polls onRealClearPollingshows Trump winning the electoral college, while Vice President Kamala Harris leads in the popular vote.",right,2016
But Trump's lead in the swing states are within the margin of error in most polls. Silver has been tracking presidential elections since former President Barack Obama's victory in 2008.,right,2016
"“Yet when I deliver this unsatisfying news, I inevitably get a question: ‘C’mon, Nate, what’s your gut say?' So OK, I’ll tell you. My gut says Donald Trump. And my guess is that it is true for many anxious Democrats.” The pollster defended the gut feeling by observing that polls have underestimated Trump in the past two presidential elections.",right,2016
And my guess is that it is true for many anxious Democrats.” The pollster defended the gut feeling by observing that polls have underestimated Trump in the past two presidential elections.,right,2016
"And my guess is that it is true for many anxious Democrats.” The pollster defended the gut feeling by observing that polls have underestimated Trump in the past two presidential elections. Former Secretary of State Hillary Clinton was the clear favorite in 2016, but lost to Trump, and Trump fared better than expected against President Joe Biden in 2020. Silver also noted that if Trump does win, one clear sign could be that Democrats no longer have the ""clear edge"" when it comes to party identification, because many more people now identify as Republicans.",right,2016
"Silver also noted that if Trump does win, one clear sign could be that Democrats no longer have the ""clear edge"" when it comes to party identification, because many more people now identify as Republicans.",right,2016
"Silver also noted that if Trump does win, one clear sign could be that Democrats no longer have the ""clear edge"" when it comes to party identification, because many more people now identify as Republicans. The FiveThirtyEight founder also warned that polls could be wrong about Harris, since the pollsters are too focused on measuring support for Trump. One way these polls could be wrong is by weighing people based on who they believe they voted for in 2020.",right,2016
"“That could plausibly bias the polls against Harris because people who say they voted for Biden but actually voted for Trump will get flagged as new Trump voters when they aren’t."" Misty Severi is an evening news reporter for Just The News. You canfollow her on Xfor more coverage.",right,2016
"During his transition thus far, President-elect Donald Trump has made a series of moves that appear to signal he has learned from his first term in office and aims to avoid some of the missteps that hampered his agenda the first time around. In ceremonial moves and personnel selection, his dealings with congressional leaders, and his restructuring of White House decision-making, Trump’s second transition looks markedly different from the post-2016 election period.",right,2016
"During his transition thus far, President-elect Donald Trump has made a series of moves that appear to signal he has learned from his first term in office and aims to avoid some of the missteps that hampered his agenda the first time around. In ceremonial moves and personnel selection, his dealings with congressional leaders, and his restructuring of White House decision-making, Trump’s second transition looks markedly different from the post-2016 election period. The tone for Trump’s return to the White House has been generally cordial, and he met with President Joe Biden on Wednesday, which he declined to do in 2020.",right,2016
"In ceremonial moves and personnel selection, his dealings with congressional leaders, and his restructuring of White House decision-making, Trump’s second transition looks markedly different from the post-2016 election period. The tone for Trump’s return to the White House has been generally cordial, and he met with President Joe Biden on Wednesday, which he declined to do in 2020. “Politics is tough, and in many cases not a very nice world, but it is a nice world today,”Trump saidwhile meeting with the commander-in-chief.",right,2016
"The tone for Trump’s return to the White House has been generally cordial, and he met with President Joe Biden on Wednesday, which he declined to do in 2020. “Politics is tough, and in many cases not a very nice world, but it is a nice world today,”Trump saidwhile meeting with the commander-in-chief. The dynamic of Trump’s government, moreover, seems to be taking shape much more quickly than it did in the prior transition.",right,2016
"The dynamic of Trump’s government, moreover, seems to be taking shape much more quickly than it did in the prior transition.",right,2016
"Public interest in Trump’s cabinet picks is high, with the president-elect announcing his selections in succession in a manner resembling a sports draft. Some of his choices have raised eyebrows, but they offer key insights into Trump’s mindset.",right,2016
"Some of his choices have raised eyebrows, but they offer key insights into Trump’s mindset. Here’s a look at what his major plays signal for the administration: Trump’s first cabinet was far from stable and many of his senior officials either resigned in frustration or received pink slips over the course of those four years.",right,2016
Here’s a look at what his major plays signal for the administration: Trump’s first cabinet was far from stable and many of his senior officials either resigned in frustration or received pink slips over the course of those four years.,right,2016
"Some of those personnel issues stemmed from Trump’s selection of establishment Republican figures and neoconservative war hawks for key jobs. Former Republican National Committee Chairman Reince Priebus, for instance, received the nod for chief of staff, but did not last a year in the job.",right,2016
"Many of Trump’s ex-military picks, such as Secretary of Defense James Mattis and Chief of Staff John Kelly, also broke with him over several policy and personality disagreements.",right,2016
National Security Advisor John Bolton also lost his post amid intense foreign policy disagreements with Trump.,right,2016
"While the new cabinet has been only partially formed, Trump’s picks for key posts have taken on a decidedly different character.",right,2016
"Instead of a national GOP figure,Trump tapped Susie Wiles, who led his campaign, for the chief of staff post, keeping a loyalist next to him in the White House.",right,2016
"Both are regarded as neoconservatives and members of the hawkish camp of the GOP. To handle the military, moreover, Trump tapped Pete Hegseth for secretary of defense. A Fox News weekend host and combat veteran, Hegseth’s selection was widely regarded as unconventional.",right,2016
Trump and Sen.,right,2016
"Mitch McConnell, R-Ky., were often at odds during the 2016 primary and throughout his administration. Trump also was at loggerheads with the late Sen. John McCain, R-Ariz., who would go on to oppose Republican efforts to repeal the Affordable Care Act.",right,2016
"John McCain, R-Ariz., who would go on to oppose Republican efforts to repeal the Affordable Care Act. McConnell will not lead the Senate Republicans in Trump’s second term. The upper chamber on Wednesday selected Sen.",right,2016
"Prior to the leadership contest, Thune, the South Dakota Republican hadurged Trump to stay outof the race.",right,2016
"Though many of Trump’s surrogates publicly backed Scott, Trump himself refrained from publicly endorsing a candidate in the contest.",right,2016
"Thune and Cornyn had both been vocal critics of Trump after he left office, though they worked to repair their relationships with him in the lead up to the vote.",right,2016
"By staying out of the contest, Trump appears to have avoided a potential spat with the candidates and upper chamber leadership team, a sharp contrast to his somewhat bellicose style in his first term.",right,2016
"By staying out of the contest, Trump appears to have avoided a potential spat with the candidates and upper chamber leadership team, a sharp contrast to his somewhat bellicose style in his first term. Most of the Senate Republicans who voted to impeach Trump will not be in office when he returns to the White House, though several remain and with a narrow majority in the upper chamber, Trump can ill afford to alienate too many of those lawmakers. In 2016, Trump struggled to secure the confirmation of his initial cabinet picks, with several key appointments taking months, and sometimes tie-breaking votes, to secure their positions.",right,2016
"Most of the Senate Republicans who voted to impeach Trump will not be in office when he returns to the White House, though several remain and with a narrow majority in the upper chamber, Trump can ill afford to alienate too many of those lawmakers. In 2016, Trump struggled to secure the confirmation of his initial cabinet picks, with several key appointments taking months, and sometimes tie-breaking votes, to secure their positions. Trump aims to avoid a repeat of that process through recess appointments.",right,2016
Trump aims to avoid a repeat of that process through recess appointments. His one significant intrusion into the leadership race was to demand that candidates agree to recess appointments to get his cabinet in place quickly.,right,2016
"We need positions filled IMMEDIATELY!” After winning the leadership contest,Thune promisedto “process his  quickly” and “get them installed in their positions so they can begin to implement his agenda.” Trump’s first administration suffered from rampant leaks to the press, some of which served to thwart his agenda in some cases.",right,2016
"Within the Department of Homeland Security, in particular, leaks frequently hindered deportation efforts. Internal resistance to Trump’s agenda by federal bureaucrats often grabbed headlines, with former DHS chief of staff Miles Taylor authoring an anonymous op-ed in theNew York Timesdetailing efforts by career officials to slow-walk or obstruct Trump. Taylor later confirmed his authorship of the op-ed publicly.",right,2016
"To prevent similar developments,Trump has promiseda “major crackdown on government leakers who collude with the media to create false narratives, pressing criminal charges when appropriate.” Additionally, his appointment of former acting Immigration and Customs Enforcement Director Tom Homan as “border czar” will potentially serve to insulate his deportation efforts against comparable leaks from DHS.",right,2016
"To prevent similar developments,Trump has promiseda “major crackdown on government leakers who collude with the media to create false narratives, pressing criminal charges when appropriate.” Additionally, his appointment of former acting Immigration and Customs Enforcement Director Tom Homan as “border czar” will potentially serve to insulate his deportation efforts against comparable leaks from DHS. Trump has further named Stephen Miller, an immigration hawk, as his deputy chief of staff for policy. Between the two of them, much of the immigration and border security decision making will occur in the White House and away from entrenched executive agencies.",right,2016
"Between the two of them, much of the immigration and border security decision making will occur in the White House and away from entrenched executive agencies. Beyond merely addressing leaks, Trump aims to address the scope of bureaucratic influence and its ability to obstruct presidential initiatives. To that end, he has vowed to reimplement an executive order permitting him to “fire rogue bureaucrats” and separate the Offices of Inspector General from the departments they oversee.",right,2016
"DOGE’s purview and authority remain unclear as of press time. ""Together, these two wonderful Americans will pave the way for my Administration to dismantle Government Bureaucracy, slash excess regulations, cut wasteful expenditures, and restructure Federal Agencies - Essential to the 'Save America' Movement,” Trump declared.",right,2016
"6 committee continues to vilify Donald Trump for his efforts to pause certification of the disputed 2020 election, key figures in their own party urged electors to violate state law and change their pledged votes for the 2016 Electoral College while trying to delay the vote by demanding an update on bogus allegations of Trump-Russia collusion contrived at the behest of the Hillary Clinton campaign. Despite the ongoing revelation of countless irregularities in the 2020 presidential election, Democrats andgovernment officials have refelexively claimedthe election was ""the most secure in American history"" — or at least that fraud was too minor to affect the outcome.",right,2016
"But back in 2016, Hillary Clinton's campaign and leading Democrats sought to taint Donald Trump's win in a more conventional electoral process by promoting the since-debunked Trump-Russia collusion theory in a bid to persuade electors to change their votes from Trump to another candidate.",right,2016
"Phill Kline, director of The Amistad Project, told Just the News that ""leftist groups tried to stop electors from voting for Trump"" through protests, calls to change electoral votes, and requesting a Trump-Russia collusion update, in a ""coordinated and concentrated effort to interfere with, delay, or alter the Electoral College vote, when that vote would be cast, and then Trump's inauguration."" House Speaker Nancy Pelosi's daughter, Christine Pelosi, who was an elector in 2016, was one of the 80 Hamilton Electors (all but one of whom were Democrats) who led an effort to receive a briefing on the Trump-Russia collusion investigation prior to the Electoral College vote.",right,2016
"68, which notes that the Electoral College is designed to prevent a ""desire in foreign powers to gain an improper ascendant in our councils."" Theelectors wrote a letterto then-Director of National Intelligence James Clapper requesting he provide information regarding investigations into Trump-Russia collusion.",right,2016
"68, which notes that the Electoral College is designed to prevent a ""desire in foreign powers to gain an improper ascendant in our councils."" Theelectors wrote a letterto then-Director of National Intelligence James Clapper requesting he provide information regarding investigations into Trump-Russia collusion. ""The Electors require to know from the intelligence community whether there are ongoing investigations into ties between Donald Trump, his campaign or associates, and Russian government interference in the election, the scope of those investigations, how far those investigations may have reached, and who was involved in those investigations,"" the letter reads. ""We further require a briefing on all investigative findings, as these matters directly impact the core factors in our deliberations of whether Mr.",right,2016
"Trump is fit to serve as President of the United States. ""Additionally, the Electors will separately require from Donald Trump conclusive evidence that he and his staff and advisors did not accept Russian interference, or otherwise collaborate during the campaign, and conclusive disavowal and repudiation of such collaboration and interference going forward."" In the majority of states,electors are required to votefor the presidential candidate who wins the vote in their state.",right,2016
"""Additionally, the Electors will separately require from Donald Trump conclusive evidence that he and his staff and advisors did not accept Russian interference, or otherwise collaborate during the campaign, and conclusive disavowal and repudiation of such collaboration and interference going forward."" In the majority of states,electors are required to votefor the presidential candidate who wins the vote in their state. In about half of those states, failure to fulfill this role triggers a range of potential consequences, such as removing and replacing the elector, and/or penalizing them.",right,2016
"In about half of those states, failure to fulfill this role triggers a range of potential consequences, such as removing and replacing the elector, and/or penalizing them. Two electors leading the Hamilton Electors,Bret Chiafalo of Washington and Micheal Baca of Colorado, were both supposed to vote for Clinton in the 2016 Electoral College, but instead voted for former Secretary of State Colin Powell and then-Ohio Governor John Kasich to try to persuade Republican electors to vote for a moderate Republican over Trump. Chiafalo was fined $1,000 by Washington state for being a ""faithless elector,"" and Baca was replaced by another elector.",right,2016
"19, Clinton's campaign chairman,John Podesta, announced the campaign's support of the initiative.",right,2016
"""Electors have a solemn responsibility under the Constitution and we support their efforts to have their questions addressed."" Referring to the intelligence community's early October announcement about Russia's involvement in the DNC hack, Podesta added: ""Each day that month, our campaign decried the interference of Russia in our campaign and its evident goal of hurting our campaign to aid Donald Trump. Despite our protestations, this matter did not receive the attention it deserved by the media in the campaign.",right,2016
We now know that the CIA has determined Russia's interference in our election was for the purpose of election of Donald Trump.,right,2016
"""We believe that the Administration owes it to the American people to explain what it knows regarding the extent and manner of Russia's interference and this be done as soon as possible."" Rep. Jim Himes (D-Conn.) called for electors to reconsider voting for Trump, telling WNPR that compared to Trump's Republican stances on ""in-bounds"" issues, ""What is not in-bounds is trashing the American intelligence community, saying that they don't know what they're talking about, and standing up for the Kremlin."" Himes added that Trump saying there were ""two to three million fraudulent votes in the presidential election"" was also out of bounds and ""not true."" ""And it's certainly not in-bounds to be running a global business empire while you're President of the United States,"" Himes said, noting that those points ""raise serious questions about the qualification of this individual, and the loyalties, and the preparation of this individual to be president. So I think the Electoral College should do what it is there to do, and reflect on whether this guy should be president or not."" Rep.",right,2016
