Fragment,Label,Year
"By Sam Gringlas , Scott Neuman , Camila Domonoske President Trump plays golf at the Trump National Golf Course on Saturday in Sterling, Va.Patrick Semansky/APhide caption President Trump plays golf at the Trump National Golf Course on Saturday in Sterling, Va.",left,2020
"ET Shortly after The Associated Press and multiple networks called the presidential election for former Vice President Joe Biden, President Trump released a statement claiming the election was ""far from over,"" falsely accusing President-elect Biden of attempting to undermine the electoral process and vowing to take the election to the courts. Trump was at his golf course in Virginia when a slew of networksannounced Biden had won the presidency.",left,2020
"ET Shortly after The Associated Press and multiple networks called the presidential election for former Vice President Joe Biden, President Trump released a statement claiming the election was ""far from over,"" falsely accusing President-elect Biden of attempting to undermine the electoral process and vowing to take the election to the courts. Trump was at his golf course in Virginia when a slew of networksannounced Biden had won the presidency. The AP and networks only call a race when they determine the trailing candidate has no possible path to victory, even factoring in the votes that remain to be counted.",left,2020
"Therehave been some disputesover how close observers could stand or how many were permitted in rooms, but nothing close to the violation of election laws that Trump alleges.",left,2020
"Healso notedhe had received more votes than any sitting president had ever received before, which is true; Biden, however, received millions more votes, setting the new record for most votes ever received in a presidential election.",left,2020
"The AP determined that Biden reached the threshold of 270 electoral votes on Saturday morning, as he secured the crucial swing state of Pennsylvania and its 20 electoral votes for Biden. Shortly after, the AP also called Nevada for Biden, bringing his electoral vote total to 290.",left,2020
"The AP determined that Biden reached the threshold of 270 electoral votes on Saturday morning, as he secured the crucial swing state of Pennsylvania and its 20 electoral votes for Biden. Shortly after, the AP also called Nevada for Biden, bringing his electoral vote total to 290. Biden leads in Georgia, while Trump has the edge in North Carolina, neither of which have been called by the AP; neither state would swing the result of the election at this point.",left,2020
"Biden leads in Georgia, while Trump has the edge in North Carolina, neither of which have been called by the AP; neither state would swing the result of the election at this point. Counting also continues in Arizona, which the AP called for Biden earlier in the week and where Biden maintains a narrow edge.",left,2020
"Counting also continues in Arizona, which the AP called for Biden earlier in the week and where Biden maintains a narrow edge. In his statement, Trump reiterated baseless claims that votes are being counted improperly.",left,2020
"Counting also continues in Arizona, which the AP called for Biden earlier in the week and where Biden maintains a narrow edge. In his statement, Trump reiterated baseless claims that votes are being counted improperly. He also emphasized his campaign's legal challenges to the voting process, several of whichhave already been thrown out of courtsbecause of a lack of any evidence of wrongdoing.",left,2020
"He also emphasized his campaign's legal challenges to the voting process, several of whichhave already been thrown out of courtsbecause of a lack of any evidence of wrongdoing. ""We all know why Joe Biden is rushing to falsely pose as the winner, and why his media allies are trying so hard to help him: they don't want the truth to be exposed,"" Trump wrote. ""The simple fact is this election is far from over.",left,2020
"Joe Biden has not been certified as the winner of any states, let alone any of the highly contested states headed for mandatory recounts, or states where our campaign has valid and legitimate legal challenges that could determine the ultimate victor."" Many of those lawsuits focus on questions of transparency and access to observe vote counting — for instance, disputing how far away an election observer can stand from officials.",left,2020
"Trump also referred to ""legal votes"" and ""illegal ballots."" He has frequently suggested mail-in ballots are illegitimate.",left,2020
"Research has found no evidence of widespread fraud, and states with Republican and Democratic election officials have used the voting method for years without major issues. Trump himself has voted by mail. Trump also accused the president-elect of seeking to count ballots ""even if they are fraudulent."" The Biden/Harris campaign has not encouraged any violation of election laws.",left,2020
"Trump himself has voted by mail. Trump also accused the president-elect of seeking to count ballots ""even if they are fraudulent."" The Biden/Harris campaign has not encouraged any violation of election laws. Just a few hours earlier, the president had falsely tweeted that he had won the election, a message flagged by Twitter.",left,2020
"It should be noted that concession speeches don't have any legal force, and Biden will be the next president regardless of whether Trump concedes or not.",left,2020
"It should be noted that concession speeches don't have any legal force, and Biden will be the next president regardless of whether Trump concedes or not. On Friday, House Speaker Nancy Pelosi referred to Biden as ""president-elect."" ""How exciting it is to come before you today with Joe Biden having the tremendous mandate that he has,"" she told reporters on Capitol Hill. ""And that pretty soon the hyphen will be gone from vice president to President-Elect Joe Biden — a happy day for our country."" Loading...",left,2020
"On Friday, House Speaker Nancy Pelosi referred to Biden as ""president-elect."" ""How exciting it is to come before you today with Joe Biden having the tremendous mandate that he has,"" she told reporters on Capitol Hill. ""And that pretty soon the hyphen will be gone from vice president to President-Elect Joe Biden — a happy day for our country."" Loading... Meanwhile, Senate Majority Leader Mitch McConnell has repeatedly sidestepped questions about the president's claims of election fraud.",left,2020
"Sen. Pat Toomey, R-Pa., told NBC'sTodayshow that he found it ""very hard to watch"" Trump's remarks from the White House on Thursday. ""The president's allegations of large-scale fraud and theft of the election are just not substantiated.",left,2020
"Don Bacon, R-Neb., told NPR that the ""handwriting is on the wall"" for Trump. He said the president has the right to file legal challenges concerning voting processes, but once the court battles have played out, the president should ""proceed graciously,"" Bacon said.",left,2020
"By Scott Detrow , Mara Liasson , Franco Ordoñez The AP has President-elect Biden at 290 electoral votes to Trump's 214.",left,2020
"By Scott Detrow , Mara Liasson , Franco Ordoñez The AP has President-elect Biden at 290 electoral votes to Trump's 214. Still, President Trump has not conceded the election. STEVE INSKEEP, HOST:This evening, President-elect Biden is expected to address the nation in a primetime address.",left,2020
"STEVE INSKEEP, HOST:This evening, President-elect Biden is expected to address the nation in a primetime address. It will be his first speech since winning the presidency, which happened earlier today - after the (unintelligible) was confirmed, we really should say, earlier today, after the Associated Press called the states of Pennsylvania and Nevada for him.MICHEL MARTIN, HOST:The AP has President-elect Biden at 290 electoral votes to Trump's 214.",left,2020
"It will be his first speech since winning the presidency, which happened earlier today - after the (unintelligible) was confirmed, we really should say, earlier today, after the Associated Press called the states of Pennsylvania and Nevada for him.MICHEL MARTIN, HOST:The AP has President-elect Biden at 290 electoral votes to Trump's 214. Still, President Trump has not conceded the election.",left,2020
"It will be his first speech since winning the presidency, which happened earlier today - after the (unintelligible) was confirmed, we really should say, earlier today, after the Associated Press called the states of Pennsylvania and Nevada for him.MICHEL MARTIN, HOST:The AP has President-elect Biden at 290 electoral votes to Trump's 214. Still, President Trump has not conceded the election. To hear more about how the president is responding, we're joined now by Franco Ordoñez, NPR White House correspondent, who's been covering the Trump campaign.",left,2020
"To hear more about how the president is responding, we're joined now by Franco Ordoñez, NPR White House correspondent, who's been covering the Trump campaign. He's traveled with President Trump across the Midwest and Florida and has been at the White House for much of this presidency.Franco, thank you so much for staying with us.FRANCO ORDOÑEZ, BYLINE: Thank you.MARTIN: So you've met a lot of Trump supporters in your travels.",left,2020
"He's traveled with President Trump across the Midwest and Florida and has been at the White House for much of this presidency.Franco, thank you so much for staying with us.FRANCO ORDOÑEZ, BYLINE: Thank you.MARTIN: So you've met a lot of Trump supporters in your travels. What message are they getting from the president today?ORDOÑEZ: Well, they're - I mean, they're definitely hearing from him, and they're definitely hearing from him in very Trumpian fashion.",left,2020
"That is true. Of course, Biden got more than 74 million votes.Trump is also pledging to take more legal action despite, you know, several cases that he's already launched or his campaign has already launched have been thrown out by the courts. His rapid response team is asking for donations and calling for more examples of voter fraud.",left,2020
"The president really believed that he couldn't lose. And frankly, many people in Trump world also didn't think that he could lose. The president had overcome so many challenges, you know, over the last four years.And, you know, he does want to continue to fight for the people who voted for him, I'm told.",left,2020
Is there a sense that the Trump administration will cooperate?,left,2020
"Has any planning been going on?ORDOÑEZ: Well, from the Trump side, you know, they have been saying that they do not - they were not thinking about a transition, that they planned to be reelected. President Trump also himself said repeatedly that he, you know, raised questions about whether he would hand over power easily.",left,2020
"President Trump also himself said repeatedly that he, you know, raised questions about whether he would hand over power easily.",left,2020
"And I know this is a situation where I might have to ask you to speculate a bit, but what is next for President Trump, assuming that he does leave office, as all signs indicate he now should?MARA LIASSON, BYLINE: Yeah.",left,2020
"You're not hearing that.So I think that over time, Trump is going to have to try to figure out a way to leave office but with his brand as someone who never loses and always wins intact.",left,2020
"And the brand is his personality as a winner, somebody who's extremely successful.MARTIN: And...LIASSON: So that's going to take some time.MARTIN: And before we turn to Scott Detrow, I want to ask you, Mara Liasson, about the president-elect, Joe Biden.",left,2020
"Is it compromising with Joe Biden on certain things, or is it obstructing him at every step of the way, which he has the power to do? And we've seen him do it very effectively in the past.We don't know the answer to that question.",left,2020
"But Joe Biden is going to have to figure out how to take popular Democratic policies, whether it's a $15 an hour minimum wage, public option to Obamacare, something big on climate change, some kind of a big relief bill for people who are still suffering from the pandemic - how to sell those policies even if Republicans in the Senate don't want any part of them.MARTIN: That was NPR national political correspondent Mara Liasson.Let's go to Scott Detrow now, NPR correspondent Scott Detrow, who has been following the Biden campaign. Scott Detrow, what do we expect to hear from President-elect Biden tonight?SCOTT DETROW, BYLINE: You know, I think, as Mara was saying, you're going to hear him start to set his agenda out, talk again about the idea that he feels like he has a mandate.",left,2020
"Scott Detrow, what do we expect to hear from President-elect Biden tonight?SCOTT DETROW, BYLINE: You know, I think, as Mara was saying, you're going to hear him start to set his agenda out, talk again about the idea that he feels like he has a mandate. And even though he certainly had a very decisive win in the presidential race, Republicans gained seats in the House, and Democrats really did not meet expectations in the Senate.",left,2020
"And even though he certainly had a very decisive win in the presidential race, Republicans gained seats in the House, and Democrats really did not meet expectations in the Senate. So I think it's important for Biden to make that case early and often.I think we're going to expect to hear a lot of a constant theme from the Biden campaign - the idea of unifying the nation. One thing he said last night in that I-think-I've-quite-won-but-I-won't-quite-say-it-yet appearance - he said, the purpose of our politics, the work of this nation, is not to fan the flames of conflict but to solve problems.",left,2020
We have blown past previous daily records over the last week as we've counted these votes.One thing in Biden's favor - a lot of the things he wants to do can be done in the executive branch.,left,2020
