Text,Leaning,Year
"President Donald Trump derided the conclusion by U.S. intelligence officials that Russia is trying to “denigrate” presumptive Democratic presidential nominee Joe Biden in favor of Trump, saying no president has been more aggressive with Russia than him. “I think the last person Russia wants to see in office is Donald Trump because nobody’s been tougher on Russia than I have, ever,”Trump said during a press briefingat his golf club in Bedminster, New Jersey, on Friday. Trump’s remarks came after counterintelligence chief William Evaninaissued a statementthat assessed the threats to the November elections by foreign countries, including Russia, China and Iran.",right,2020
"President Donald Trump derided the conclusion by U.S. intelligence officials that Russia is trying to “denigrate” presumptive Democratic presidential nominee Joe Biden in favor of Trump, saying no president has been more aggressive with Russia than him. “I think the last person Russia wants to see in office is Donald Trump because nobody’s been tougher on Russia than I have, ever,”Trump said during a press briefingat his golf club in Bedminster, New Jersey, on Friday.",right,2020
"intelligence officials that Russia is trying to “denigrate” presumptive Democratic presidential nominee Joe Biden in favor of Trump, saying no president has been more aggressive with Russia than him. “I think the last person Russia wants to see in office is Donald Trump because nobody’s been tougher on Russia than I have, ever,”Trump said during a press briefingat his golf club in Bedminster, New Jersey, on Friday. Trump’s remarks came after counterintelligence chief William Evaninaissued a statementthat assessed the threats to the November elections by foreign countries, including Russia, China and Iran.",right,2020
"“I think the last person Russia wants to see in office is Donald Trump because nobody’s been tougher on Russia than I have, ever,”Trump said during a press briefingat his golf club in Bedminster, New Jersey, on Friday. Trump’s remarks came after counterintelligence chief William Evaninaissued a statementthat assessed the threats to the November elections by foreign countries, including Russia, China and Iran. It said China does not want Trump to be re-elected, Russia was using resources to denigrate Biden and Iran was working to undermine democratic institutions. “Nobody with any common sense would say — look at what we’ve done with our military and what we’ve done in exposing the pipeline with billions of dollars going to Russia,” Trump continued.",right,2020
"Trump’s remarks came after counterintelligence chief William Evaninaissued a statementthat assessed the threats to the November elections by foreign countries, including Russia, China and Iran. It said China does not want Trump to be re-elected, Russia was using resources to denigrate Biden and Iran was working to undermine democratic institutions. “Nobody with any common sense would say — look at what we’ve done with our military and what we’ve done in exposing the pipeline with billions of dollars going to Russia,” Trump continued. “Look at all of the things we’ve done with NATO raising $130 billion a year from countries that were delinquent and now paying all of this money.” ",right,2020
"“Nobody with any common sense would say — look at what we’ve done with our military and what we’ve done in exposing the pipeline with billions of dollars going to Russia,” Trump continued. “Look at all of the things we’ve done with NATO raising $130 billion a year from countries that were delinquent and now paying all of this money.” ",right,2020
"Trump 2020 campaign pollster Jim McLaughlin Wednesday accused officials in Philadelphia of trying to steal the election by stopping the vote count there Tuesday and insisted that the race between President Donald Trump and Democrat nominee Joe Biden is ""not even really that close."" ""Our polls were right,"" McLaughlin toldFox Business' Maria Bartiromo. ""This was going to happen.",right,2020
"""This was going to happen. We thought all along this president was going to win a close, competitive election."" Trump was up by 600,000 votes in Pennsylvania, McLaughlin said, or nearly 12 percentage points, 55% to 44%, but then the decision to stop the count in Philadelphia hit. ""I'm just looking at President Trump's lead,"" he said. There's no way they should be able to make that up."" Stopping the vote count was ""like a sports team calling a time out,"" said McLaughlin.",right,2020
"We thought all along this president was going to win a close, competitive election."" Trump was up by 600,000 votes in Pennsylvania, McLaughlin said, or nearly 12 percentage points, 55% to 44%, but then the decision to stop the count in Philadelphia hit. ""I'm just looking at President Trump's lead,"" he said. There's no way they should be able to make that up."" Stopping the vote count was ""like a sports team calling a time out,"" said McLaughlin. ""That's what they did right there to try to figure out what to do to get enough votes out of Philadelphia to steal this thing."" The Philadelphia city commissioners, the elected officials who oversee elections, said Wednesday that ballots will continue to be counted after experiencing a delay with counting in-person votes Tuesday, reportsABC affiliate WPVIin Philadelphia.",right,2020
"A federal judge set a hearing for Wednesday to stop the count of 49 ballots that were changed. McLaughlin accused the national media of ""being in on"" the push to elect Biden. ""These are the same people giving us the bogus polls telling us we're going to have a Biden landslide,"" he said. ""Why can't they count votes in Philadelphia?",right,2020
"McLaughlin accused the national media of ""being in on"" the push to elect Biden. ""These are the same people giving us the bogus polls telling us we're going to have a Biden landslide,"" he said. ""Why can't they count votes in Philadelphia? You have a partisan attorney general trying to put his finger on the scale there.",right,2020
"You have a partisan attorney general trying to put his finger on the scale there. He's announcing a Biden victory even before the votes are cast."" McLaughlin said it ""makes no sense"" what is going on but pointed out that at one time, he worked for former Philadelphia Mayor Frank Rizzo, a Democrat-turned-Republican. ""He used to warn us all the time about all the Democrat cheating that went on there,"" he said.",right,2020
"Democrat presidential candidate Joe Biden's lead in the polls grew even wider after the first presidential debate with President Donald Trump last week and the president's COVID-19 diagnosis, aJust the News Daily Pollconducted by Scott Rasmussen shows. Since last week, Biden moved up two points in the polls and currently leads Trump 51% to 43%.",right,2020
"Democrat presidential candidate Joe Biden's lead in the polls grew even wider after the first presidential debate with President Donald Trump last week and the president's COVID-19 diagnosis, aJust the News Daily Pollconducted by Scott Rasmussen shows. Since last week, Biden moved up two points in the polls and currently leads Trump 51% to 43%. Trump's support fell two points over the same period. Among rural voters, Trump's lead fell from 32% to 16%.",right,2020
"Since last week, Biden moved up two points in the polls and currently leads Trump 51% to 43%. Trump's support fell two points over the same period. Among rural voters, Trump's lead fell from 32% to 16%.",right,2020
"Among rural voters, Trump's lead fell from 32% to 16%. His support from independent voters fell, too.",right,2020
"His support from independent voters fell, too. According to Rasmussen, Biden's lead grew because Trump's numbers in the polls fell, not because the former vice president gained an increase in popularity. ""Perhaps the only encouraging news in the survey for the president is that Biden did not gain support.",right,2020
"According to Rasmussen, Biden's lead grew because Trump's numbers in the polls fell, not because the former vice president gained an increase in popularity. ""Perhaps the only encouraging news in the survey for the president is that Biden did not gain support. He remained steady at 51%,"" Rasmussen said. ""It is possible that this is just a temporary decline and these voters may return to Trump, depending upon how things progress this week."" The poll surveyed 1,200 registered voters, including 763 likely voters, from Oct.",right,2020
"""It is possible that this is just a temporary decline and these voters may return to Trump, depending upon how things progress this week."" The poll surveyed 1,200 registered voters, including 763 likely voters, from Oct. 1-3.",right,2020
"Former national security adviser Michael Flynn says President Donald Trump has options to make sure the integrity of the 2020 election remains intact, including seizing voting machines around the country and using military capabilities to rerun elections in swing states. ''I don’t know if he’s going to take any of these options.",right,2020
